shipment_id,origin_port_id,destination_port_id,shipment_year,shipment_weight_tonnes,cargo_type
1,1,5,2018,300,Electronics
2,3,7,2019,450,Machinery
3,4,6,2017,200,Chemicals
4,2,10,2015,500,Electronics
5,9,3,2020,150,Agricultural Goods
6,5,8,2016,300,Consumer Goods
7,7,2,2012,400,Machinery
8,6,9,2014,250,Automotive
9,4,5,2018,375,Textiles
10,8,1,2013,600,Electronics
11,10,4,2016,500,Consumer Goods
12,3,6,2019,150,Machinery
13,9,2,2017,330,Food Products
14,7,8,2013,270,Agricultural Goods
15,5,4,2020,300,Consumer Goods
16,6,1,2015,450,Machinery
17,3,10,2011,225,Chemicals
18,8,7,2016,300,Textiles
19,2,9,2019,375,Agricultural Goods
20,10,5,2012,500,Food Products
21,1,3,2015,600,Electronics
22,2,4,2018,300,Consumer Goods
23,4,10,2017,250,Automotive
24,7,6,2015,275,Textiles
25,5,1,2013,325,Machinery
26,6,8,2019,425,Electronics
27,8,9,2012,375,Chemicals
28,10,7,2016,450,Consumer Goods
29,2,3,2018,320,Textiles
30,9,5,2017,340,Food Products
31,3,4,2020,400,Agricultural Goods
32,6,7,2015,260,Electronics
33,7,9,2011,480,Machinery
34,4,2,2013,220,Consumer Goods
35,1,5,2016,500,Textiles
36,2,8,2017,450,Automotive
37,5,9,2014,330,Food Products
38,3,1,2013,400,Machinery
39,7,10,2019,275,Consumer Goods
40,10,8,2015,520,Textiles
41,4,6,2018,290,Chemicals
42,5,3,2020,380,Agricultural Goods
43,1,10,2017,500,Electronics
44,6,2,2014,260,Textiles
45,9,4,2012,450,Agricultural Goods
46,8,3,2013,200,Food Products
47,3,7,2019,500,Consumer Goods
48,7,6,2018,270,Textiles
49,2,4,2020,360,Automotive
50,10,1,2013,600,Electronics
51,5,9,2014,330,Food Products
52,1,6,2016,450,Machinery
53,3,9,2017,350,Consumer Goods
54,9,2,2018,250,Textiles
55,6,4,2019,500,Automotive
56,7,8,2012,420,Agricultural Goods
57,4,3,2013,275,Electronics
58,2,5,2017,390,Textiles
59,10,4,2020,600,Consumer Goods
60,8,6,2015,470,Machinery
61,6,1,2011,430,Chemicals
62,3,8,2014,300,Agricultural Goods
63,7,5,2017,260,Food Products
64,1,9,2012,500,Textiles
65,2,6,2019,340,Machinery
66,4,8,2014,480,Electronics
67,8,3,2016,275,Consumer Goods
68,5,10,2018,390,Textiles
69,7,4,2019,310,Automotive
70,3,2,2016,470,Food Products
71,9,1,2015,290,Electronics
72,6,7,2012,330,Consumer Goods
73,1,3,2020,410,Textiles
74,2,9,2019,350,Agricultural Goods
75,5,8,2017,280,Machinery
76,4,1,2016,510,Electronics
77,3,6,2013,275,Chemicals
78,7,5,2014,380,Textiles
79,10,2,2018,420,Consumer Goods
80,9,8,2015,500,Automotive
81,5,4,2012,310,Food Products
82,2,6,2013,470,Agricultural Goods
83,7,3,2018,250,Textiles
84,8,1,2015,600,Electronics
85,4,10,2019,370,Machinery
86,6,2,2016,420,Consumer Goods
87,1,8,2020,510,Textiles
88,3,9,2017,500,Food Products
89,5,2,2014,450,Consumer Goods
90,10,6,2015,390,Agricultural Goods
91,8,4,2013,320,Textiles
92,2,1,2018,500,Electronics
